[src/logging.rs::60][2024-07-09 15:56:33][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/logging.rs::60][2024-07-09 15:57:59][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../data/Nanopore/GP5d_DNMTi_HDACi/align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/pileup/subcommand.rs::448][2024-07-09 15:57:59][INFO] calculated chunk size: 60, interval size 100000, processing 6000000 positions concurrently
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1325 positions in tid 149, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 60 positions in tid 135, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 708 positions in tid 191, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 26 positions in tid 131, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 17 positions in tid 53, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 8 positions in tid 129, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 25 positions in tid 70, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 4872 positions in tid 178, took 0.0040s (46.68475 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 12 positions in tid 74, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 59 positions in tid 50, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1544 positions in tid 150, took 0.0010s (41.717 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 3720 positions in tid 172, took 0.0030s (60.64 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 72 positions in tid 62, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 51 positions in tid 63, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 5 positions in tid 85, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 14 positions in tid 47, took 0.0000s (inf kb/msec)
